time,ax,ay,az
2021-03-04 17:29:07.5020,0.01,0.02,-0.01
2021-03-04 17:29:07.5120,0.07,0.04,-0.04
2021-03-04 17:29:07.5220,0.1,0.06,-0.05
2021-03-04 17:29:07.5320,0.12,0.05,-0.05
2021-03-04 17:29:07.5410,0.12,0.03,-0.05
2021-03-04 17:29:07.5530,0.11,0,-0.05
2021-03-04 17:29:07.5710,0.1,-0.03,-0.06
2021-03-04 17:29:07.5730,0.08,-0.06,-0.04
2021-03-04 17:29:07.5810,0.07,-0.06,-0.01
2021-03-04 17:29:07.5910,0.07,-0.04,0.04
2021-03-04 17:29:07.6010,0.06,-0.02,0.07
2021-03-04 17:29:07.6110,0.04,0.01,0.07
2021-03-04 17:29:07.6220,0.02,0.03,0.06
2021-03-04 17:29:07.6310,0.02,0.05,0.07
2021-03-04 17:29:07.6420,0.02,0.06,0.07
2021-03-04 17:29:07.6530,0,0.03,0.06
2021-03-04 17:29:07.6730,-0.02,0,0.07
2021-03-04 17:29:07.6760,-0.06,0,0.09
2021-03-04 17:29:07.6800,-0.09,0.03,0.06
2021-03-04 17:29:07.6910,-0.09,0.05,0.03
2021-03-04 17:29:07.7000,-0.09,0.06,0.01
2021-03-04 17:29:07.7100,-0.09,0.05,0
2021-03-04 17:29:07.7210,-0.1,0.04,0.02
2021-03-04 17:29:07.7300,-0.1,-0.01,0.02
2021-03-04 17:29:07.7410,-0.09,-0.03,0.02
2021-03-04 17:29:07.7500,-0.09,-0.03,0.02
2021-03-04 17:29:07.7700,-0.1,-0.01,0.02
2021-03-04 17:29:07.7720,-0.1,0.03,0.03
2021-03-04 17:29:07.7800,-0.09,0.07,0.05
2021-03-04 17:29:07.7900,-0.08,0.1,0.05
2021-03-04 17:29:07.8000,-0.08,0.08,0.05
2021-03-04 17:29:07.8110,-0.08,0.07,0.04
2021-03-04 17:29:07.8200,-0.08,0.03,0.03
2021-03-04 17:29:07.8300,-0.07,0,0.05
2021-03-04 17:29:07.8410,-0.05,-0.01,0.06
2021-03-04 17:29:07.8500,-0.05,-0.02,0.06
2021-03-04 17:29:07.8700,-0.04,-0.03,0.05
2021-03-04 17:29:07.8720,-0.01,-0.04,0.03
2021-03-04 17:29:07.8790,-0.01,-0.02,0.01
2021-03-04 17:29:07.8890,-0.01,0,0
2021-03-04 17:29:07.8990,-0.02,0.01,0.02
2021-03-04 17:29:07.9090,-0.02,0.02,0.01
2021-03-04 17:29:07.9200,-0.01,0.03,0.02
2021-03-04 17:29:07.9300,-0.02,0.05,0.03
2021-03-04 17:29:07.9390,-0.03,0.05,0.03
2021-03-04 17:29:07.9500,-0.06,0.04,0.04
2021-03-04 17:29:07.9690,-0.08,0.02,0.04
